ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
12,MOOSE,Rubbing,1,3,29,4,5,854,32,6.0,300,DOWN,740,18.0,true,5851,5120,1472,253,478,-1,1,1,DOWN,1.0,374.0,568.0,528.0,1714.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,30,4,6,854,32,6.0,100,UP,644,18.0,true,4097,3584,1297,108,405,-1,2,2,DOWN,1.0,344.0,671.0,549.0,1602.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,31,4,7,854,32,3.0,50,UP,145,18.0,true,3678,2750,927,187,741,0,1,2,UP,1.0,347.0,782.0,492.0,1609.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,32,4,8,854,32,3.0,200,DOWN,836,18.0,true,2961,1664,0,713,584,0,0,1,DOWN,1.0,297.399,848.0,408.52,1407.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,1,1,1,854,32,3.0,100,UP,352,18.0,false,22777,21281,11232,281,1215,-3,1,2,DOWN,1.0,261.0,596.0,1081.0,1659.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,2,1,1,854,32,3.0,300,DOWN,732,18.0,true,7247,5250,1713,274,1723,0,1,1,DOWN,1.0,293.0,715.0,522.0,1775.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,3,1,2,854,32,6.0,100,DOWN,252,18.0,true,3963,2752,720,682,529,0,1,1,DOWN,1.0,354.0,863.0,544.5,1728.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,4,1,3,854,32,3.0,50,DOWN,115,18.0,true,11645,7232,1569,675,3738,0,1,1,UP,1.0,359.0,514.0,660.5,1549.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,5,1,4,854,32,3.0,100,UP,155,18.0,true,10431,9441,1153,390,600,0,1,1,UP,1.0,330.0,642.0,541.0,1421.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,6,1,5,854,32,3.0,200,UP,202,18.0,true,14032,9121,1952,659,4252,1,1,1,DOWN,1.0,280.163,644.0,504.341,1540.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,7,1,6,854,32,6.0,300,UP,429,18.0,true,8445,7137,2031,304,1004,0,1,1,UP,1.0,413.0,677.5,561.0,1267.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,8,1,7,854,32,6.0,50,UP,374,18.0,true,4348,3184,1088,470,694,0,1,2,DOWN,1.0,318.0,713.0,507.52,1619.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,9,1,8,854,32,6.0,200,DOWN,301,18.0,true,4343,3105,800,766,472,1,1,1,DOWN,1.0,314.5,826.0,518.0,1525.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,10,2,1,854,32,6.0,200,UP,610,18.0,true,5008,3616,1375,364,1028,1,2,1,UP,1.0,347.0,846.0,528.658,1458.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,11,2,2,854,32,3.0,50,UP,177,18.0,true,4508,2895,2191,583,1030,0,1,1,UP,1.0,308.0,829.0,582.5,1615.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,12,2,3,854,32,6.0,300,DOWN,642,18.0,true,6184,5264,1599,264,656,0,2,1,DOWN,1.0,396.0,721.0,610.0,1695.481,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,13,2,4,854,32,3.0,200,DOWN,347,18.0,true,4424,3567,1230,398,459,0,1,1,DOWN,1.0,475.0,687.0,638.0,1381.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,14,2,5,854,32,6.0,100,UP,63,18.0,true,3933,2673,0,762,498,0,0,1,DOWN,1.0,418.696,841.5,534.5,1541.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,4,15,2,6,854,32,6.0,50,DOWN,439,18.0,true,3712,2800,1009,442,470,0,1,2,DOWN,1.0,445.0,642.0,626.0,1411.0,1080.0,1661.0,4.331,
